Stimuli_list,Participant_id,Target_word,Short Utterance,Noise,SNR,Response,Synonym_pair_id
5,5a5f7c21ac56240001543340,correctly,you did not even say it correctly that time,babble,5,you did not even say it correctly that time!,1
4,5c327a791a99ff0001559cfc,correctly,you did not even say it correctly that time,babble,5,he did not even say it correctly that time.,1
2,5cfe65a259b16b0017c7bc58,correctly,you did not even say it correctly that time,babble,5,you did not even say it correctly that time,1
1,5ea0a1faa5e73b08860d3c89,correctly,you did not even say it correctly that time,babble,5,he did not even say it correctly that time,1
6,5ec821a7e4cab611190a4dcc,correctly,you did not even say it correctly that time,babble,5,you did not even say it correctly that time,1
3,5ec8f15fce3f413ef07d6cc5,correctly,you did not even say it correctly that time,babble,5,you did not even say it correctly that time,1
27,5b663859f7798c000182b8cf,right,you did not even say it right that time,babble,5,he did not even say it right that time,1
29,5e2caf81f0143c2d7b8bbb7e,right,you did not even say it right that time,babble,5,you did not even say it right that time,1
25,5e469f9ef0d398000b1f13f2,right,you did not even say it right that time,babble,5,you did not even say it right that time,1
28,5ebc3b504d0cc505d779b1ef,right,you did not even say it right that time,babble,5,you did not even say it right that time,1
30,5f0ebf797b54480920ff90a8,right,you did not even say it right that time,babble,5,he did not even say it right that time,1
26,5af4c62c86fd9c00016645e8,right,you did not even say it right that time,babble,5,you did not even say it right that time,1
5,5a5f7c21ac56240001543340,ordinarily,but other things there that i would not so ordinarily,babble,5,.... i would not ordinarily.,2
2,5cfe65a259b16b0017c7bc58,ordinarily,but other things there that i would not so ordinarily,babble,5,but other things there but that i would not ordinarily,2
1,5ea0a1faa5e73b08860d3c89,ordinarily,but other things there that i would not so ordinarily,babble,5,but other things there that i would not so ordinarily,2
6,5ec821a7e4cab611190a4dcc,ordinarily,but other things there that i would not so ordinarily,babble,5,but other things there that i would not ordinarily,2
3,5ec8f15fce3f413ef07d6cc5,ordinarily,but other things there that i would not so ordinarily,babble,5,but other things there that i would not so ordinarily,2
4,5c327a791a99ff0001559cfc,ordinarily,but other things there that i would not so ordinarily,babble,5,but other things there i would not --,2
26,5af4c62c86fd9c00016645e8,usually,but other things there that i would not so usually,babble,5,other things there that i would not see usually,2
29,5e2caf81f0143c2d7b8bbb7e,usually,but other things there that i would not so usually,babble,5,but there are other things there that i would not so usually,2
25,5e469f9ef0d398000b1f13f2,usually,but other things there that i would not so usually,babble,5,but other things that are not so usually,2
28,5ebc3b504d0cc505d779b1ef,usually,but other things there that i would not so usually,babble,5,there was other things that i would not so usually,2
30,5f0ebf797b54480920ff90a8,usually,but other things there that i would not so usually,babble,5,there are other things there that i would not say usually,2
27,5b663859f7798c000182b8cf,usually,but other things there that i would not so usually,babble,5,there are other things that i would not...,2
26,5af4c62c86fd9c00016645e8,child,she says to anybody she's quite a fiery child,babble,5,"she says to anybody, she's quite a fiery child",3
27,5b663859f7798c000182b8cf,child,she says to anybody she's quite a fiery child,babble,5,she says to anybody she's quite a fiery child,3
29,5e2caf81f0143c2d7b8bbb7e,child,she says to anybody she's quite a fiery child,babble,5,she says to anybody she's quite a fiery child,3
25,5e469f9ef0d398000b1f13f2,child,she says to anybody she's quite a fiery child,babble,5,she says to anybody she is quite a fiery child,3
28,5ebc3b504d0cc505d779b1ef,child,she says to anybody she's quite a fiery child,babble,5,she says to anyone she is quite a fiery child,3
30,5f0ebf797b54480920ff90a8,child,she says to anybody she's quite a fiery child,babble,5,she says to anybody shes quite a fiery child,3
5,5a5f7c21ac56240001543340,youngster,she says to anybody she's quite a fiery youngster,babble,5,she says to anybody she's quite a fiery youngster!,3
4,5c327a791a99ff0001559cfc,youngster,she says to anybody she's quite a fiery youngster,babble,5,she says to anybody she's quite a fiery youngster.,3
2,5cfe65a259b16b0017c7bc58,youngster,she says to anybody she's quite a fiery youngster,babble,5,she says to anybody she's quite a fiery youngster,3
1,5ea0a1faa5e73b08860d3c89,youngster,she says to anybody she's quite a fiery youngster,babble,5,she says to anybody she is quite a fiery youngster,3
6,5ec821a7e4cab611190a4dcc,youngster,she says to anybody she's quite a fiery youngster,babble,5,she says to anybody shes quite a fiery youngster,3
3,5ec8f15fce3f413ef07d6cc5,youngster,she says to anybody she's quite a fiery youngster,babble,5,she says to anybody she's quite a fiery youngster,3
26,5af4c62c86fd9c00016645e8,mind,i'm not much of a deep mind,babble,5,i'm not much of a deep mind,4
27,5b663859f7798c000182b8cf,mind,i'm not much of a deep mind,babble,5,i'm not much of a deep mind,4
29,5e2caf81f0143c2d7b8bbb7e,mind,i'm not much of a deep mind,babble,5,i'm not much of a deep mind,4
25,5e469f9ef0d398000b1f13f2,mind,i'm not much of a deep mind,babble,5,i'm not much of a deep mind,4
28,5ebc3b504d0cc505d779b1ef,mind,i'm not much of a deep mind,babble,5,i'm not much of a deep mind,4
30,5f0ebf797b54480920ff90a8,mind,i'm not much of a deep mind,babble,5,im not much of a deep mind,4
5,5a5f7c21ac56240001543340,thinker,i'm not much of a deep thinker,babble,5,i'm not much of a deep thinker.,4
4,5c327a791a99ff0001559cfc,thinker,i'm not much of a deep thinker,babble,5,i'm not much of a deep thinker.,4
2,5cfe65a259b16b0017c7bc58,thinker,i'm not much of a deep thinker,babble,5,i'm not much of a deep thinker,4
1,5ea0a1faa5e73b08860d3c89,thinker,i'm not much of a deep thinker,babble,5,iâ€™m not much of a deep thinker,4
6,5ec821a7e4cab611190a4dcc,thinker,i'm not much of a deep thinker,babble,5,im not much of a deep thinker,4
3,5ec8f15fce3f413ef07d6cc5,thinker,i'm not much of a deep thinker,babble,5,i'm not much of a deep thinker,4
5,5a5f7c21ac56240001543340,sentiment,but probably not the actual sentiment behind it,babble,5,but probably not the actual sentiment behind it.,5
4,5c327a791a99ff0001559cfc,sentiment,but probably not the actual sentiment behind it,babble,5,but probably not the actually sentiment behind it.,5
2,5cfe65a259b16b0017c7bc58,sentiment,but probably not the actual sentiment behind it,babble,5,but probably not the actual sentiment behind it,5
1,5ea0a1faa5e73b08860d3c89,sentiment,but probably not the actual sentiment behind it,babble,5,but probably not the actual sentiment behind it,5
6,5ec821a7e4cab611190a4dcc,sentiment,but probably not the actual sentiment behind it,babble,5,but probably not the actual sentiment behind it,5
3,5ec8f15fce3f413ef07d6cc5,sentiment,but probably not the actual sentiment behind it,babble,5,but probably not the actual sentiment behind it,5
26,5af4c62c86fd9c00016645e8,view,but probably not the actual view behind it,babble,5,but probably not the actual view behind it,5
27,5b663859f7798c000182b8cf,view,but probably not the actual view behind it,babble,5,but probably not the actual view behind it,5
29,5e2caf81f0143c2d7b8bbb7e,view,but probably not the actual view behind it,babble,5,but probably not the actual view behind it,5
25,5e469f9ef0d398000b1f13f2,view,but probably not the actual view behind it,babble,5,but probably not much of the actual view behind it,5
28,5ebc3b504d0cc505d779b1ef,view,but probably not the actual view behind it,babble,5,but probably not the actual view behind it,5
30,5f0ebf797b54480920ff90a8,view,but probably not the actual view behind it,babble,5,probably not the actual view behind it,5
5,5a5f7c21ac56240001543340,alternatively,and then dad said alternatively you could,babble,5,and then dad said alternatively he could.,6
4,5c327a791a99ff0001559cfc,alternatively,and then dad said alternatively you could,babble,5,and then dad said alternatively you could.,6
1,5ea0a1faa5e73b08860d3c89,alternatively,and then dad said alternatively you could,babble,5,and then dad said alternatively you could,6
6,5ec821a7e4cab611190a4dcc,alternatively,and then dad said alternatively you could,babble,5,and then dad said alternatively you could,6
3,5ec8f15fce3f413ef07d6cc5,alternatively,and then dad said alternatively you could,babble,5,and then dad said alternatively you could,6
2,5cfe65a259b16b0017c7bc58,alternatively,and then dad said alternatively you could,babble,5,mum or dad said alternately you could,6
26,5af4c62c86fd9c00016645e8,instead,and then dad said instead you could,babble,5,and then dad said instead he could,6
27,5b663859f7798c000182b8cf,instead,and then dad said instead you could,babble,5,and then dad said instead you could,6
