Stimuli_list,Participant_id,Clean/Babble,SNR,Target_word,Response
1,5c0189dc9d035a00017e7eaa,babble,-5,obviously,obviously
1,5c1d232074ad0b0001531eea,babble,-5,obviously,obviously
1,5c36188ae2809a000106d7de,babble,-5,obviously,obviously
1,5db9940a8b31b7000b84baed,babble,-5,obviously,obviously
1,5dde99ba326bd801296eab89,babble,-5,obviously,obviously
4,56c6fd07b0b7a1000d5cf899,babble,0,obviously,obviously
4,57732cfcda75d30001487571,babble,0,obviously,obviously
4,597f57ccfc90e000011c56fe,babble,0,obviously,obviously
4,5cadcbd3cdf3eb00136336a4,babble,0,obviously,obviously
4,5e432ceb394cd51c528ba4f0,babble,0,obviously,obviously
2,55891561fdf99b4badde5b11,clean,-,obviously,obviously
2,5a4ad25599311d0001df5ee8,clean,-,obviously,obviously
2,5a67676a35f26b000149689d,clean,-,obviously,obviously
2,5acf2046e87197000107933c,clean,-,obviously,obviously
2,5ce3de71c536f5000110529e,clean,-,obviously,obviously
11,5b97a223788a3d0001b49ab3,babble,-5,honestly,Honestly
11,5c56cf49a35f38000169f681,babble,-5,honestly,honestly
11,5cf42528e7c1d1001b527bbc,babble,-5,honestly,honesty
11,5d619e7c79db120016bd2429,babble,-5,honestly,honesty
11,5ddb0012270f44a553f0d024,babble,-5,honestly,none
14,576075c3624ccc0006233eb7,babble,0,honestly,honestly
14,59efd2b3d838ae000185123a,babble,0,honestly,honestly
14,5c44a1a111a0c200016ff5ba,babble,0,honestly,honestly
14,5d4c217a97d8a600013b46cf,babble,0,honestly,Honestly
14,5d89094bdee2770001840056,babble,0,honestly,honestly
12,594a8e2eeaa18e000163f6cd,clean,-,honestly,honestly
12,5a67b46ec0d836000108089f,clean,-,honestly,honestly
12,5c3f7880d831ed0001f795e9,clean,-,honestly,honestly
12,5c4a1c1cbd42830001dbb540,clean,-,honestly,Honestly
12,5d264788d8c0080001ff782e,clean,-,honestly,honestly
5,55b95e2ffdf99b469f622883,babble,-5,architect,architect
5,57fa6c8b07d709000141ad46,babble,-5,architect,architect
5,595e32ebe05ca800013401d0,babble,-5,architect,Achietech
5,5b7200cf8f427a00013a1f9d,babble,-5,architect,amulet
5,5be594a25ea88f0001cc3912,babble,-5,architect,architect
3,57c8221b7612a1000118be3b,babble,0,architect,Architect
3,5aeaeef326e9c60001fbd22b,babble,0,architect,architect
3,5c6ddaefdf677d00013fa313,babble,0,architect,Architect
3,5c936c09e2d9fb0001386b03,babble,0,architect,architect
3,5cdc5bc31f7a97001b6e5c31,babble,0,architect,architect
1,5c0189dc9d035a00017e7eaa,clean,-,architect,architect
1,5c1d232074ad0b0001531eea,clean,-,architect,architect
1,5c36188ae2809a000106d7de,clean,-,architect,architect
1,5db9940a8b31b7000b84baed,clean,-,architect,architect
1,5dde99ba326bd801296eab89,clean,-,architect,architect
2,55891561fdf99b4badde5b11,babble,-5,absolutely,Absolutley
2,5a4ad25599311d0001df5ee8,babble,-5,absolutely,absoluty
2,5a67676a35f26b000149689d,babble,-5,absolutely,absolutely
2,5acf2046e87197000107933c,babble,-5,absolutely,absolutely
2,5ce3de71c536f5000110529e,babble,-5,absolutely,absolutely
5,55b95e2ffdf99b469f622883,babble,0,absolutely,absolutely
5,57fa6c8b07d709000141ad46,babble,0,absolutely,absolutely
5,595e32ebe05ca800013401d0,babble,0,absolutely,Absolutely
5,5b7200cf8f427a00013a1f9d,babble,0,absolutely,Absolutely
5,5be594a25ea88f0001cc3912,babble,0,absolutely,absolutely
3,57c8221b7612a1000118be3b,clean,-,absolutely,Absolutely
3,5c6ddaefdf677d00013fa313,clean,-,absolutely,Absolutely
3,5c936c09e2d9fb0001386b03,clean,-,absolutely,absolutely
3,5cdc5bc31f7a97001b6e5c31,clean,-,absolutely,absolutely
5,55b95e2ffdf99b469f622883,babble,-5,after,wonderful
5,57fa6c8b07d709000141ad46,babble,-5,after,party
5,595e32ebe05ca800013401d0,babble,-5,after,Afterward
5,5b7200cf8f427a00013a1f9d,babble,-5,after,After
5,5be594a25ea88f0001cc3912,babble,-5,after,architect
3,57c8221b7612a1000118be3b,babble,0,after,After
3,5aeaeef326e9c60001fbd22b,babble,0,after,after
3,5c6ddaefdf677d00013fa313,babble,0,after,After
3,5c936c09e2d9fb0001386b03,babble,0,after,after
3,5cdc5bc31f7a97001b6e5c31,babble,0,after,after
1,5c0189dc9d035a00017e7eaa,clean,-,after,after
1,5c1d232074ad0b0001531eea,clean,-,after,after
1,5c36188ae2809a000106d7de,clean,-,after,after
1,5db9940a8b31b7000b84baed,clean,-,after,after
1,5dde99ba326bd801296eab89,clean,-,after,after
1,5c0189dc9d035a00017e7eaa,babble,-5,afterwards,afterwards
1,5c1d232074ad0b0001531eea,babble,-5,afterwards,afterwards
1,5c36188ae2809a000106d7de,babble,-5,afterwards,afterwards
1,5db9940a8b31b7000b84baed,babble,-5,afterwards,afterwards
1,5dde99ba326bd801296eab89,babble,-5,afterwards,afterwards
4,56c6fd07b0b7a1000d5cf899,babble,0,afterwards,afterwards
4,57732cfcda75d30001487571,babble,0,afterwards,afterwoods
4,597f57ccfc90e000011c56fe,babble,0,afterwards,afterwards
4,5cadcbd3cdf3eb00136336a4,babble,0,afterwards,afterwords
4,5e432ceb394cd51c528ba4f0,babble,0,afterwards,afterwards
2,55891561fdf99b4badde5b11,clean,-,afterwards,Afterwards
2,5a4ad25599311d0001df5ee8,clean,-,afterwards,afterwards
2,5a67676a35f26b000149689d,clean,-,afterwards,afterwards
2,5acf2046e87197000107933c,clean,-,afterwards,afterwards
2,5ce3de71c536f5000110529e,clean,-,afterwards,afterward
5,55b95e2ffdf99b469f622883,babble,-5,accessible,exessive
5,57fa6c8b07d709000141ad46,babble,-5,accessible,accessible
5,595e32ebe05ca800013401d0,babble,-5,accessible,Accessable
5,5b7200cf8f427a00013a1f9d,babble,-5,accessible,Exempt
5,5be594a25ea88f0001cc3912,babble,-5,accessible,accessible
3,57c8221b7612a1000118be3b,babble,0,accessible,Accessible
3,5aeaeef326e9c60001fbd22b,babble,0,accessible,accessible
3,5c6ddaefdf677d00013fa313,babble,0,accessible,Accesible
3,5c936c09e2d9fb0001386b03,babble,0,accessible,accessible
3,5cdc5bc31f7a97001b6e5c31,babble,0,accessible,accessible
1,5c0189dc9d035a00017e7eaa,clean,-,accessible,accessible
1,5c1d232074ad0b0001531eea,clean,-,accessible,accessible
1,5c36188ae2809a000106d7de,clean,-,accessible,accessible
1,5db9940a8b31b7000b84baed,clean,-,accessible,accesable
1,5dde99ba326bd801296eab89,clean,-,accessible,accessible
6,5a031341728b1b0001ad8bee,babble,-5,anterior,interior
6,5bc30ddeb17a810001daf55c,babble,-5,anterior,anterior
6,5bdc609519b9ba000157d122,babble,-5,anterior,bacteria
6,5d8e3e54e019d1001a713708,babble,-5,anterior,Interior
6,5dd00f0e82a527107df2df46,babble,-5,anterior,anterior
9,5a8be4a50f1bce00012254ed,babble,0,anterior,anterior
9,5c6decc3e5229800015052a5,babble,0,anterior,anterior
9,5ccb36a8d01bf6001815792a,babble,0,anterior,anterior
9,5ce2cadbed552600199dc85c,babble,0,anterior,anterior
9,5ce6b381e7de4c0001a24b49,babble,0,anterior,anterior
